# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /media/psf/Dropbox/altera/VHDL/LOGBAS/lobdas.csv
# Generated on: Tue Jul 21 16:28:14 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair,Strict Preservation,Weak Pull-Up Resistor
BBB_BCLK,Input,PIN_5,1,PIN_5,3.3-V LVCMOS,,,,,on
BBB_DATA,Input,PIN_6,1,PIN_6,3.3-V LVCMOS,,,,,on
BBB_LRCK,Input,PIN_7,1,PIN_7,3.3-V LVCMOS,,,,,on
BBB_MCLK,Input,PIN_4,1,PIN_4,3.3-V LVCMOS,,,,,on
BCLK1,Output,PIN_29,1,PIN_29,3.3-V LVTTL,,,,,
BCLK2,Output,PIN_51,1,PIN_51,3.3-V LVTTL,,,,,
BCLK_ESP,Output,PIN_69,2,PIN_69,3.3-V LVTTL,,,,,
CHLR,Input,PIN_74,2,PIN_74,3.3-V LVTTL,,,,,on
CLK49M,Input,PIN_12,1,PIN_12,3.3-V LVTTL,,,,,
D64_128,Input,PIN_54,2,PIN_54,3.3-V LVCMOS,,,,,on
DATA1,Output,PIN_28,1,PIN_28,3.3-V LVTTL,,,,,
DATA2,Output,PIN_48,1,PIN_48,3.3-V LVTTL,,,,,
DEM,Input,PIN_100,2,PIN_100,3.3-V LVTTL,,,,,on
DEVNAME[2],Input,PIN_78,2,PIN_78,3.3-V LVTTL,,,,,on
DEVNAME[1],Input,PIN_77,2,PIN_77,3.3-V LVTTL,,,,,on
DEVNAME[0],Input,PIN_76,2,PIN_76,3.3-V LVTTL,,,,,on
DIF0,Input,PIN_85,2,PIN_85,3.3-V LVTTL,,,,,on
DIF1,Input,PIN_86,2,PIN_86,3.3-V LVTTL,,,,,on
DIF2,Input,PIN_89,2,PIN_89,3.3-V LVTTL,,,,,on
DP,Output,PIN_15,1,PIN_15,3.3-V LVTTL,,,,,
